category,sales,ship_date,product_id,city,profit,state,zipcode,row_id,region,ship_mode,order_id,segment,sub_category,order_date,quantity,discount,country,customer_name,product_name,customer_id
Furniture,261.96,2016-11-11,FUR-BO-10001798,Henderson,41.9136,Kentucky,42420,1,South,Second Class,CA-2016-152156,Consumer,Bookcases,2016-11-08,2,0,United States,Claire Gute,Bush Somerset Collection Bookcase,CG-12520
Furniture,731.94,2016-11-11,FUR-CH-10000454,Henderson,219.582,Kentucky,42420,2,South,Second Class,CA-2016-152156,Consumer,Chairs,2016-11-08,3,0,United States,Claire Gute,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",CG-12520
Office Supplies,14.62,2016-06-16,OFF-LA-10000240,Los Angeles,6.8714,California,90036,3,West,Second Class,CA-2016-138688,Corporate,Labels,2016-06-12,2,0,United States,Darrin Van Huff,Self-Adhesive Address Labels for Typewriters by Universal,DV-13045
Furniture,957.5775,2015-10-18,FUR-TA-10000577,Fort Lauderdale,-383.031,Florida,33311,4,South,Standard Class,US-2015-108966,Consumer,Tables,2015-10-11,5,,United States,Sean O'Donnell,Bretford CR4500 Series Slim Rectangular Table,SO-20335
Office Supplies,22.368,2015-10-18,OFF-ST-10000760,Fort Lauderdale,2.5164,Florida,33311,5,South,Standard Class,US-2015-108966,Consumer,Storage,2015-10-11,2,,United States,Sean O'Donnell,Eldon Fold 'N Roll Cart System,SO-20335
Furniture,48.86,2014-06-14,FUR-FU-10001487,Los Angeles,14.1694,California,90032,6,West,Standard Class,CA-2014-115812,Consumer,Furnishings,2014-06-09,7,0,United States,Brosina Hoffman,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",BH-11710
Office Supplies,7.28,2014-06-14,OFF-AR-10002833,Los Angeles,1.9656,California,90032,7,West,Standard Class,CA-2014-115812,Consumer,Art,2014-06-09,4,0,United States,Brosina Hoffman,Newell 322,BH-11710
Technology,907.152,2014-06-14,TEC-PH-10002275,Los Angeles,90.7152,California,90032,8,West,Standard Class,CA-2014-115812,Consumer,Phones,2014-06-09,6,,United States,Brosina Hoffman,Mitel 5320 IP Phone VoIP phone,BH-11710
Office Supplies,18.504,2014-06-14,OFF-BI-10003910,Los Angeles,5.7825,California,90032,9,West,Standard Class,CA-2014-115812,Consumer,Binders,2014-06-09,3,,United States,Brosina Hoffman,DXL Angle-View Binders with Locking Rings by Samsill,BH-11710
Office Supplies,114.9,2014-06-14,OFF-AP-10002892,Los Angeles,34.47,California,90032,10,West,Standard Class,CA-2014-115812,Consumer,Appliances,2014-06-09,5,0,United States,Brosina Hoffman,Belkin F5C206VTEL 6 Outlet Surge,BH-11710
Furniture,1706.184,2014-06-14,FUR-TA-10001539,Los Angeles,85.3092,California,90032,11,West,Standard Class,CA-2014-115812,Consumer,Tables,2014-06-09,9,,United States,Brosina Hoffman,Chromcraft Rectangular Conference Tables,BH-11710
Technology,911.424,2014-06-14,TEC-PH-10002033,Los Angeles,68.3568,California,90032,12,West,Standard Class,CA-2014-115812,Consumer,Phones,2014-06-09,4,,United States,Brosina Hoffman,Konftel 250 Conference phone - Charcoal black,BH-11710
Office Supplies,15.552,2017-04-20,OFF-PA-10002365,Concord,5.4432,North Carolina,28027,13,South,Standard Class,CA-2017-114412,Consumer,Paper,2017-04-15,3,,United States,Andrew Allen,Xerox 1967,AA-10480
Office Supplies,407.976,2016-12-10,OFF-BI-10003656,Seattle,132.5922,Washington,98103,14,West,Standard Class,CA-2016-161389,Consumer,Binders,2016-12-05,3,,United States,Irene Maddox,Fellowes PB200 Plastic Comb Binding Machine,IM-15070
Office Supplies,68.81,2015-11-26,OFF-AP-10002311,Fort Worth,-123.858,Texas,76106,15,Central,Standard Class,US-2015-118983,Home Office,Appliances,2015-11-22,5,,United States,Harold Pawlan,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",HP-14815
Office Supplies,2.544,2015-11-26,OFF-BI-10000756,Fort Worth,-3.816,Texas,76106,16,Central,Standard Class,US-2015-118983,Home Office,Binders,2015-11-22,3,,United States,Harold Pawlan,Storex DuraTech Recycled Plastic Frosted Binders,HP-14815
Office Supplies,665.88,2014-11-18,OFF-ST-10004186,Madison,13.3176,Wisconsin,53711,17,Central,Standard Class,CA-2014-105893,Consumer,Storage,2014-11-11,6,0,United States,Pete Kriz,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",PK-19075
Office Supplies,55.5,2014-05-15,OFF-ST-10000107,West Jordan,9.99,Utah,84084,18,West,Second Class,CA-2014-167164,Consumer,Storage,2014-05-13,2,0,United States,Alejandro Grove,Fellowes Super Stor/Drawer,AG-10270
Office Supplies,8.56,2014-09-01,OFF-AR-10003056,San Francisco,2.4824,California,94109,19,West,Second Class,CA-2014-143336,Consumer,Art,2014-08-27,2,0,United States,Zuschuss Donatelli,Newell 341,ZD-21925
Technology,213.48,2014-09-01,TEC-PH-10001949,San Francisco,16.011,California,94109,20,West,Second Class,CA-2014-143336,Consumer,Phones,2014-08-27,3,,United States,Zuschuss Donatelli,Cisco SPA 501G IP Phone,ZD-21925
